,age_at_enrollment,admission_grade,total_units_approved,scholarship_holder,debtor,target
0,-0.4303628237699172,0.022228767979372222,-1.533976558544737,0,0,0
1,-0.562167955812708,1.0719261394817379,0.4794672316946684,0,0,2
2,-0.562167955812708,-0.15041882601772735,-1.533976558544737,0,0,0
3,-0.4303628237699172,-0.5095258215316947,0.311680249174718,0,0,2
4,2.8647654772998528,1.002867101882898,0.311680249174718,0,0,2
5,3.5237911375138067,-0.8410092020061256,0.14389326665476757,0,1,2
6,-0.6939730878554988,0.09819370933809662,0.9828281792545197,1,0,2
7,-0.16675255968433558,-0.9584095659241536,-1.533976558544737,0,0,0
8,-0.2985576917271264,0.16034684317705286,0.4794672316946684,1,0,2
9,-0.6939730878554988,-0.27472509369563886,-0.35946768090508374,0,1,0
10,-0.6939730878554988,0.25012359205554346,0.311680249174718,0,0,2
11,-0.6939730878554988,-0.5302435328113464,0.8150411967345693,1,0,2
12,-0.562167955812708,0.22249997701600713,-1.533976558544737,0,0,0
13,-0.2985576917271264,-1.0481863148026451,0.311680249174718,1,0,2
14,-0.6939730878554988,0.6990073364480024,-0.02389371586518287,1,0,2
15,-0.4303628237699172,-0.4335608801729703,-0.6950416459449846,0,0,0
16,-0.6939730878554988,0.7197250477276551,-1.0306156109848854,0,0,1
17,-0.6939730878554988,0.022228767979372222,0.9828281792545197,0,0,2
18,-0.4303628237699172,0.6437601063689317,-0.1916806983851333,0,0,2
19,-0.6939730878554988,-0.1642306335374955,0.4794672316946684,0,0,1
20,-0.2985576917271264,-0.4611844952125066,-1.533976558544737,1,0,2
21,-0.4303628237699172,-0.35759593881424684,0.9828281792545197,0,0,1
22,-0.6939730878554988,-0.10207749969853928,0.8150411967345693,0,0,2
23,-0.562167955812708,-0.8341032982462411,0.4794672316946684,1,0,2
24,-0.562167955812708,-0.21257195985668262,0.6472542142146189,0,0,2
25,-0.6939730878554988,2.073282184664915,-0.02389371586518287,1,1,1
26,-0.2985576917271264,-0.7305147418479814,0.4794672316946684,0,0,2
27,-0.6939730878554988,0.2777472070950798,-0.02389371586518287,0,0,1
28,-0.4303628237699172,-0.33687822753459506,0.14389326665476757,0,0,2
29,-0.562167955812708,-0.5647730516107663,0.4794672316946684,0,0,1
30,-0.2985576917271264,1.5898689214730366,0.14389326665476757,0,0,1
31,-0.4303628237699172,0.20868816949623997,0.14389326665476757,0,0,2
32,-0.6939730878554988,0.8164077003660313,-0.6950416459449846,0,0,1
33,-0.562167955812708,0.5194538386910192,0.4794672316946684,0,0,2
34,1.414909024829154,0.30537082213461614,0.14389326665476757,0,0,2
35,1.8103244209575264,-1.6904353644718553,-1.3661895760247864,0,1,0
36,2.6011552132142715,0.12581732437763296,-1.533976558544737,0,0,0
37,4.182816797727761,-0.28163099745552245,-1.0306156109848854,0,0,0
38,2.073934685043108,-0.9031623358450809,0.14389326665476757,0,0,2
39,-0.4303628237699172,-0.48190220649215837,-0.5272546634250341,0,1,0
40,-0.6939730878554988,-0.4059372651334349,-0.862828628464935,0,1,0
41,-0.16675255968433558,-0.454278591452622,0.14389326665476757,0,0,2
42,-0.16675255968433558,-1.8216475359096513,0.4794672316946684,0,0,2
43,-0.4303628237699172,-0.3852195538537822,-0.02389371586518287,0,0,0
44,0.7558833646152,-1.1932102937602085,-1.533976558544737,0,0,0
45,0.09685770440124603,0.4918302236514829,-0.6950416459449846,0,0,1
46,-0.6939730878554988,0.04294647925902397,0.311680249174718,0,0,2
47,-0.16675255968433558,0.37442985973345594,0.6472542142146189,1,0,2
48,-0.2985576917271264,0.4434888973322958,0.4794672316946684,1,0,2
49,-0.562167955812708,-0.06064207713923577,0.311680249174718,1,0,2
50,0.09685770440124603,-0.9307859508846172,0.4794672316946684,1,0,2
51,-0.562167955812708,-0.39212545761366674,0.4794672316946684,1,0,1
52,-0.4303628237699172,-0.35759593881424684,-0.35946768090508374,1,0,1
53,-0.562167955812708,2.2321179711422476,0.14389326665476757,0,0,2
54,0.4922731005296184,-0.48190220649215837,0.14389326665476757,0,0,0
55,-0.6939730878554988,0.1465350356572837,0.9828281792545197,0,0,2
56,2.073934685043108,0.20868816949623997,-1.533976558544737,0,0,0
57,0.4922731005296184,1.9558818207468884,0.9828281792545197,0,0,0
58,-0.6939730878554988,0.8854667379648711,1.1506151617744702,0,0,2
59,-0.6939730878554988,-0.8133855869665894,-1.533976558544737,0,0,1
60,-0.6939730878554988,-0.8341032982462411,0.6472542142146189,0,0,2
61,-0.2985576917271264,0.33990034093403604,0.4794672316946684,1,0,2
62,-0.562167955812708,-0.06754798089911936,-1.533976558544737,1,0,1
63,-0.562167955812708,0.22249997701600713,-0.5272546634250341,0,0,1
64,0.09685770440124603,-0.4197490726532021,-1.533976558544737,0,0,1
65,0.7558833646152,-0.06754798089911936,0.14389326665476757,0,0,0
66,-0.562167955812708,0.08438190181832748,-1.533976558544737,1,0,2
67,-0.034947427641544786,0.20868816949623997,0.4794672316946684,0,0,2
68,-0.562167955812708,-0.4749963027322748,-0.02389371586518287,0,1,0
69,0.3604679684868276,-1.863082958468955,0.311680249174718,0,0,1
70,-0.6939730878554988,0.4849243198915993,-1.533976558544737,0,0,1
71,0.09685770440124603,0.2639353995753126,0.9828281792545197,0,0,2
72,-0.562167955812708,0.6092305875695118,-1.533976558544737,0,0,0
73,-0.6939730878554988,-1.0550922185625287,-0.862828628464935,0,0,0
74,-0.6939730878554988,0.40895937853287584,-0.02389371586518287,0,0,2
75,-0.6939730878554988,-0.7926678756869375,-0.5272546634250341,0,1,0
76,-0.2985576917271264,-1.448728732875916,-0.6950416459449846,1,0,0
77,-0.562167955812708,-0.4611844952125066,0.4794672316946684,1,1,2
78,-0.16675255968433558,0.2639353995753126,0.9828281792545197,1,0,2
79,1.2831038927863632,-0.6890793192886778,0.4794672316946684,0,0,2
80,-0.4303628237699172,-1.1586807749607886,0.14389326665476757,0,0,0
81,1.546714156871945,1.9835054357864228,-1.533976558544737,0,0,0
82,0.09685770440124603,3.689263664477768,1.1506151617744702,0,1,0
83,-0.6939730878554988,-0.10207749969853928,-0.1916806983851333,0,0,1
84,1.2831038927863632,-1.1724925824805565,0.311680249174718,0,0,2
85,-0.16675255968433558,2.349518335060275,0.8150411967345693,1,0,2
86,0.22866283644403682,-1.863082958468955,-0.02389371586518287,1,0,2
87,-0.4303628237699172,-0.6476438967293743,0.311680249174718,0,0,2
88,-0.034947427641544786,0.1189114206177474,-0.02389371586518287,0,0,1
89,-0.6939730878554988,-1.0205626997631088,-1.198402593504836,0,1,1
90,0.09685770440124603,-1.8078357283898834,-1.533976558544737,0,0,0
91,-0.2985576917271264,-1.5177877704747558,0.4794672316946684,0,0,2
92,0.3604679684868276,-1.863082958468955,-1.198402593504836,0,0,0
93,2.073934685043108,-0.7926678756869375,-1.0306156109848854,0,0,0
94,2.732960345257062,-0.8962564320851973,0.8150411967345693,0,0,2
95,-0.562167955812708,0.6921014326881187,-0.1916806983851333,0,0,1
96,-0.6939730878554988,-0.1435129222578428,0.4794672316946684,0,0,2
97,-0.6939730878554988,-0.4611844952125066,0.9828281792545197,1,0,2
98,-0.562167955812708,0.5056420311712521,0.14389326665476757,0,0,1
99,-0.562167955812708,-1.0689040260822968,-0.862828628464935,0,1,0
100,-0.2985576917271264,0.12581732437763296,0.6472542142146189,0,0,0
101,-0.4303628237699172,-1.1724925824805565,-1.533976558544737,0,0,2
102,1.6785192889147356,-0.9307859508846172,-1.533976558544737,0,0,0
103,2.6011552132142715,2.280459297461435,3.667419899573727,0,0,2
104,-0.562167955812708,-0.6614557042491415,-1.533976558544737,0,0,0
105,-0.4303628237699172,-0.32997232377471053,1.9895500743742225,0,1,2
106,-0.562167955812708,-0.6062084741700698,-1.533976558544737,0,0,0
107,-0.4303628237699172,-1.4003874065567279,-0.1916806983851333,0,0,0
108,-0.4303628237699172,-1.2967988501584682,0.311680249174718,0,0,0
109,-0.4303628237699172,-1.3796696952770762,-0.02389371586518287,0,0,1
110,-0.6939730878554988,0.6299482988491625,0.4794672316946684,0,0,2
111,-0.6939730878554988,-0.8064796832067057,-0.5272546634250341,1,0,1
112,-0.562167955812708,0.8854667379648711,0.14389326665476757,0,0,2
113,-0.6939730878554988,2.073282184664915,0.4794672316946684,0,0,2
114,-0.6939730878554988,0.2777472070950798,0.4794672316946684,0,0,0
115,-0.4303628237699172,-1.863082958468955,0.6472542142146189,0,0,1
116,-0.4303628237699172,0.9269021605241746,-0.5272546634250341,1,0,1
117,-0.4303628237699172,-0.9376918546445008,-0.5272546634250341,0,0,1
118,-0.6939730878554988,0.6921014326881187,0.14389326665476757,0,0,2
119,-0.6939730878554988,-0.35759593881424684,0.14389326665476757,0,0,2
